alus_id;nimi;alustyyppi;Tilakoodi;Ensirekisterointipvm;Uusikotimaa;Vanhakotimaa;Rakennusvuosi;Rakennusmaa;Rakennuspaikka;omistajuustyyppi;asiakkaan_kuntatieto;aluksen_satamapaikka;Kantavuus;JaaluokkaKoodi;Nettovetoisuus;Bruttovetoisuus;Pituus;Suurinpituus;Mallisyvays;Mallikorkeus;Leveys;
"1";"Arctica";"4";"VESSEL_REGISTERED_FI";"17.01.1989";"";"246";"";"";"";"1";"091";"Hanko";"";"";"57";"187";"30,00";"";"2,63";"3,50";"7,16";
"1";"Arctica";"4";"VESSEL_REGISTERED_FI";"17.01.1989";"";"246";"1967";"100";"Burgas";"3";"199";"Hanko";"";"";"57";"187";"30,00";"";"2,63";"3,50";"7,16";
"2";"Orjaku";"11";"VESSEL_REGISTERED_FI";"10.05.1990";"";"246";"";"";"";"1";"";"Helsinki";"";"";"33";"109";"26,40";"";"2,28";"3,04";"6,50";
"2";"Orjaku";"11";"VESSEL_REGISTERED_FI";"10.05.1990";"";"246";"1955";"278";"Magdenburg";"3";"199";"Helsinki";"";"";"33";"109";"26,40";"";"2,28";"3,04";"6,50";
"3";"Lyra";"11";"VESSEL_REGISTERED_FI";"25.06.1973";"";"752";"";"";"";"1";"853";"Rymättylä";"500";"";"144";"258";"48,50";"";"2,43";"2,72";"7,00";
"3";"Lyra";"11";"VESSEL_REGISTERED_FI";"25.06.1973";"";"752";"1900";"276";"";"3";"199";"Rymättylä";"500";"";"144";"258";"48,50";"";"2,43";"2,72";"7,00";
"3";"Lyra";"11";"VESSEL_REGISTERED_FI";"25.06.1973";"";"752";"1969";"246";"Savonlinna";"3";"740";"Rymättylä";"500";"";"144";"258";"48,50";"";"2,43";"2,72";"7,00";
"4";"Niederelbe";"11";"VESSEL_REGISTERED_FI";"25.07.1969";"";"276";"";"";"";"1";"208";"Kalajoki";"450";"";"107";"294";"44,09";"";"3,17";"3,34";"7,00";
"4";"Niederelbe";"11";"VESSEL_REGISTERED_FI";"25.07.1969";"";"276";"1937";"276";"Brake";"3";"199";"Kalajoki";"450";"";"107";"294";"44,09";"";"3,17";"3,34";"7,00";
"5";"Glückauf";"11";"VESSEL_REGISTERED_FI";"04.11.1992";"";"246";"";"";"";"1";"179";"Porvoo";"260";"";"52";"170";"32,25";"";"2,06";"2,75";"6,44";
